엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 실무경험 년수(년),창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,이자보상배율,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부
0,10.0,6,68.75,3.906,113.041,-3.938,5.435,0.01,0.0,20.0,1.0,2.0,0
0,18.0,6,69.663,3.371,152.26,2.502,339.259,3.0,0.0,26.966,3.0,2.0,0
0,15.0,6,66.129,3.226,86.295,5.634,563.424,10.0,0.0,20.0,1.0,3.0,0
1,15.0,6,67.188,3.125,98.666,5.595,762.683,10.0,0.0,24.0,1.0,1.0,0
0,30.0,6,65.868,4.192,84.626,2.502,224.789,5.0,1.0,17.0,3.0,4.0,1
0,6.0,5,32.231,0.0,144.74,12.578,147600.0,2.0,1.0,70.0,3.0,8.0,0
0,20.0,6,81.25,5.0,27.366,1.071,23.529,5.0,0.1,31.25,1.0,5.0,0
0,12.0,6,81.25,4.375,102.128,2.497,282.786,2.0,0.8,22.5,3.0,3.0,0
0,12.0,6,52.809,7.865,118.289,4.136,474.557,35.0,5.0,30.0,3.0,4.0,0
0,12.0,6,40.0,14.286,100.797,4.015,412.698,35.0,5.0,30.0,3.0,4.0,0
0,12.0,6,60.976,6.098,101.537,4.75,352.218,35.0,5.0,30.0,3.0,5.0,0
0,5.0,6,28.571,28.571,41.474,5.838,-1466.667,5.0,0.0,57.143,3.0,1.0,0
0,2.0,6,0.0,0.0,66.263,11.88,750.0,20.0,0.0,100.0,3.0,2.0,0
0,5.0,6,70.588,11.765,45.676,2.028,117.391,0.1,0.0,36.0,1.0,4.0,0
0,0.0,10,20.833,8.333,136.375,14.857,33066.667,0.5,0.0,63.0,1.0,2.0,0
0,5.0,6,77.778,11.111,33.222,1.19,118.919,0.1,0.0,36.0,1.0,3.0,0
0,10.0,6,52.632,15.789,71.187,3.477,127.835,0.02,0.0,50.0,1.0,5.0,0
0,5.0,6,80.0,0.0,40.558,2.197,121.918,0.01,0.0,33.0,1.0,4.0,0
0,10.0,10,80.0,4.0,107.987,4.853,674.545,3.0,0.0,20.0,1.0,3.0,0
0,20.0,6,52.885,13.462,128.806,2.726,261.66,5.0,1.0,32.212,3.0,3.0,0
0,5.0,5,60.284,6.383,212.6,4.802,557.384,8.0,0.01,37.589,3.0,7.0,0
0,40.0,6,64.417,10.429,141.822,2.285,760.4,2.0,0.0,18.405,1.0,3.0,0
0,0.0,7,0.0,0.0,23.239,-1209.091,-6450.0,0.73,0.0,100.0,1.0,4.0,1
0,10.0,5,55.357,10.714,113.263,1.159,239.423,1.0,0.0,30.357,1.0,1.0,0
0,17.0,8,40.625,0.0,151.972,-12.524,-418.905,20.0,0.0,34.0,1.0,4.0,0
0,20.0,1,27.273,36.364,28.876,3.316,35.714,1.0,0.0,82.0,3.0,8.0,0
0,10.0,6,13.793,79.31,57.741,4.244,139.85,50.0,0.0,6.0,1.0,3.0,0
0,18.0,5,8.824,61.765,15.234,-185.607,-434.874,60.0,20.0,82.0,3.0,2.0,0
0,7.0,6,6.667,76.19,92.082,2.68,263.071,1.0,0.0,60.0,1.0,3.0,0
0,6.0,7,46.354,7.812,114.699,0.819,331.657,15.0,10.0,52.0,1.0,5.0,0
