벤처확인 유형,엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 최종학력,창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,ROE,주력제품 국내 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부,연구개발관련전담부서보유여부
2,0,3,6,54.913,2.89,112.063,4.159,10.679,1.0,45.0,3.0,4.0,0,1.0
4,0,3,6,45.333,12.0,75.799,-1.311,-10.388,0.3,30.0,3.0,3.0,0,3.0
2,0,5,9,75.0,12.5,44.605,2.655,3.529,30.0,25.0,1.0,1.0,0,1.0
2,0,1,10,40.0,33.333,137.829,1.589,6.132,9.0,46.667,3.0,3.0,0,1.0
2,0,3,6,47.619,23.81,55.288,3.692,7.725,5.0,59.0,1.0,3.0,0,3.0
2,0,3,9,40.0,40.0,145.114,4.613,17.021,0.3,50.0,3.0,5.0,0,1.0
2,0,3,9,50.0,7.143,638.93,6.006,58.924,0.2,40.0,3.0,7.0,0,1.0
2,0,3,6,57.576,15.152,74.366,11.514,9.708,10.0,25.0,1.0,3.0,0,1.0
2,0,3,6,48.75,15.625,102.039,13.672,15.995,10.0,25.0,1.0,3.0,0,1.0
2,0,3,6,52.632,21.053,60.266,2.853,6.163,5.0,59.0,1.0,3.0,0,1.0
2,0,5,6,67.5,7.5,166.462,4.452,19.38,3.0,30.0,1.0,3.0,0,2.0
2,0,3,6,61.111,13.333,85.712,10.016,24.603,15.0,18.889,1.0,5.0,0,1.0
2,0,3,6,24.138,6.897,247.934,-1.228,-551.087,10.0,20.69,1.0,3.0,1,1.0
2,0,3,6,55.319,2.128,259.705,-1.128,-8.115,40.0,87.0,1.0,8.0,0,2.0
2,0,3,6,7.784,75.449,257.948,-3.725,-1787.5,2.0,50.0,1.0,5.0,0,2.0
2,0,3,6,61.429,8.571,92.682,4.647,18.088,15.0,36.0,1.0,1.0,0,2.0
2,0,5,6,4.149,19.917,184.039,2.754,10.075,15.0,93.0,1.0,3.0,1,3.0
3,0,3,4,71.784,3.32,113.958,2.7,6.09,10.0,17.427,3.0,3.0,0,1.0
2,0,3,6,65.385,3.846,70.923,-3.823,-4.907,20.0,22.115,1.0,2.0,0,1.0
2,0,3,5,0.0,62.5,222.578,6.919,91.701,1.0,87.129,1.0,2.0,0,1.0
2,0,1,5,28.125,31.25,41.576,-22.307,-37.037,5.0,50.0,3.0,5.0,0,3.0
2,0,3,6,33.333,33.333,135.491,0.329,1.058,1.0,66.667,1.0,4.0,0,1.0
1,0,3,6,4.167,5.556,128.58,0.763,2.998,12.0,86.111,3.0,3.0,0,1.0
2,0,3,6,27.273,27.273,30.798,6.802,4.304,30.0,27.273,1.0,8.0,0,1.0
2,0,3,4,14.815,51.852,99.253,16.323,27.019,4.0,75.0,1.0,5.0,0,1.0
2,0,3,6,40.0,20.0,201.483,3.865,18.277,2.0,53.333,1.0,1.0,0,1.0
2,0,3,6,68.75,3.906,113.041,-3.938,-14.912,0.01,20.0,1.0,2.0,0,1.0
1,0,4,6,69.663,3.371,152.26,2.502,20.929,3.0,26.966,3.0,2.0,0,3.0
2,0,3,6,66.129,3.226,86.295,5.634,9.917,10.0,20.0,1.0,3.0,0,3.0
2,1,3,6,67.188,3.125,98.666,5.595,11.081,10.0,24.0,1.0,1.0,0,1.0
2,0,5,6,65.868,4.192,84.626,2.502,5.245,5.0,17.0,3.0,4.0,1,1.0
2,0,3,5,32.231,0.0,144.74,12.578,21.134,2.0,70.0,3.0,8.0,0,2.0
2,0,5,6,81.25,5.0,27.366,1.071,0.775,5.0,31.25,1.0,5.0,0,1.0
2,0,3,6,81.25,4.375,102.128,2.497,6.696,2.0,22.5,3.0,3.0,0,1.0
2,0,3,6,52.809,7.865,118.289,4.136,12.262,35.0,30.0,3.0,4.0,0,1.0
2,0,3,6,40.0,14.286,100.797,4.015,10.673,35.0,30.0,3.0,4.0,0,1.0
2,0,3,6,60.976,6.098,101.537,4.75,12.512,35.0,30.0,3.0,5.0,0,1.0
2,0,3,6,28.571,28.571,41.474,5.838,5.287,5.0,57.143,3.0,1.0,0,1.0
2,0,3,6,0.0,0.0,66.263,11.88,23.274,20.0,100.0,3.0,2.0,0,3.0
2,0,3,6,70.588,11.765,45.676,2.028,2.553,0.1,36.0,1.0,4.0,0,1.0
2,0,3,10,20.833,8.333,136.375,14.857,24.261,0.5,63.0,1.0,2.0,0,2.0
2,0,3,6,77.778,11.111,33.222,1.19,1.242,0.1,36.0,1.0,3.0,0,1.0
1,0,3,6,52.632,15.789,71.187,3.477,6.941,0.02,50.0,1.0,5.0,0,3.0
2,0,3,6,80.0,0.0,40.558,2.197,2.7,0.01,33.0,1.0,4.0,0,4.0
2,0,4,10,80.0,4.0,107.987,4.853,10.923,3.0,20.0,1.0,3.0,0,1.0
2,0,2,6,52.885,13.462,128.806,2.726,10.818,5.0,32.212,3.0,3.0,0,1.0
3,0,3,5,60.284,6.383,212.6,4.802,28.272,8.0,37.589,3.0,7.0,0,1.0
2,0,3,6,64.417,10.429,141.822,2.285,11.603,2.0,18.405,1.0,3.0,0,1.0
2,0,3,7,0.0,0.0,23.239,-1209.091,31.591,0.73,100.0,1.0,4.0,1,1.0
2,0,1,5,55.357,10.714,113.263,1.159,9.404,1.0,30.357,1.0,1.0,0,1.0
3,0,1,8,40.625,0.0,151.972,-12.524,-201.567,20.0,34.0,1.0,4.0,0,1.0
2,0,1,1,27.273,36.364,28.876,3.316,2.844,1.0,82.0,3.0,8.0,0,1.0
2,0,3,6,13.793,79.31,57.741,4.244,10.947,50.0,6.0,1.0,3.0,0,1.0
4,0,2,5,8.824,61.765,15.234,-185.607,-48.177,60.0,82.0,3.0,2.0,0,1.0
2,0,3,6,6.667,76.19,92.082,2.68,19.119,1.0,60.0,1.0,3.0,0,1.0
3,0,5,7,46.354,7.812,114.699,0.819,1.66,15.0,52.0,1.0,5.0,0,1.0
2,0,1,6,63.333,16.667,51.708,10.702,48.187,5.0,33.333,3.0,2.0,0,1.0
