순번,개인법인구분_공통,가중치_공통,(쿼터)업종_공통,(쿼터)종사자_공통,(쿼터)지역_공통,(쿼터)기업성장단계_공통,(쿼터)업력_공통,업력_공통,지역_공통,업종_공통,제조업여부_공통,A14_벤처확인유형_공통,A15_회사주소_시도_공통,A15_회사주소_구군_공통,A16_KSIC코드_공통,A161_1단계업종분류_대_공통,A162_2단계업종분류_중_공통,A163_3단계업종분류_소_공통,A21_창업년도_공통,A22_기업성장단계_공통,A23_제조및비제조_공통,A23_2_아웃소싱_공통,A24_스마티공장도입의향_법인,A25_상장여부_법인,A25_상장년도_법인,A25_상장거래소_법인,B11_대표이사_창업자여부_법인,B12_대표이사_성별_법인,B13_대표이사_연령_법인,B14_대표이사_최종학력_법인,B141_대표이사_전공_법인,B141_대표이사_전공_기타_법인,B15_대표이사_이전근무지_법인,B15_대표이사_이전근무지_기타_법인,B16_대표이사_업무경력분야2_0_법인,B16_대표이사_업무경력분야2_1_법인,B16_대표이사_업무경력분야2_2_법인,B16_대표이사_업무경력분야2_3_법인,B16_대표이사_업무경력분야2_4_법인,B16_대표이사_업무경력분야2_5_법인,B16_대표이사_업무경력분야2_6_법인,B16_대표이사_업무경력분야2_7_법인,B16_대표이사_업무경력분야2_기타_법인,B21_창업자_성별_공통,B22_창업주_창업시연령_공통,B23_창업주_창업시최종학력_공통,B231_창업주_창업시전공_공통,B231_창업주_창업시전공_기타_공통,B24_창업주_이전근무지_공통,B24_창업주_이전근무지_기타_공통,B25_창업주_업무경력분야_0_공통,B25_창업주_업무경력분야_1_공통,B25_창업주_업무경력분야_2_공통,B25_창업주_업무경력분야_3_공통,B25_창업주_업무경력분야_4_공통,B25_창업주_업무경력분야_5_공통,B25_창업주_업무경력분야_6_공통,B25_창업주_업무경력분야_7_공통,B25_창업주_업무경력분야_기타_공통,B261_창업방식형태_공통,B262_창업형태_단독공동_법인,B262_2_멤버수_법인,B2631_창업방식_창업자주요역할_0_공통,B2631_창업방식_창업자주요역할_1_공통,B2631_창업방식_창업자주요역할_2_공통,B2631_창업방식_창업자주요역할_3_공통,B2631_창업방식_창업자주요역할_4_공통,B2631_창업방식_창업자주요역할_기타_공통,B2632_창업방식_공동창업자주요역할_0_법인,B2632_창업방식_공동창업자주요역할_1_법인,B2632_창업방식_공동창업자주요역할_2_법인,B2632_창업방식_공동창업자주요역할_3_법인,B2632_창업방식_공동창업자주요역할_4_법인,B2632_창업방식_공동창업자주요역할_기타_법인,B27_창업시목표시장_법인,B28_창업시관련분야실무경험년수_공통,B29_창업주과거창업경험여부_공통,B291_창업경험및결과_성공_공통,B291_창업경험및결과_실패_공통,B291_창업경험및결과_합계_공통,C11_2017년기준_정규직_남_공통,C11_2017년기준_정규직_여_공통,C11_2017년기준_정규직_합계_공통,C11_2018년기준_정규직_남_공통,C11_2018년기준_정규직_여_공통,C11_2018년기준_정규직_합계_공통,C12_2017년기준_비정규직_남_공통,C12_2017년기준_비정규직_여_공통,C12_2017년기준_비정규직_합계_공통,C12_2018년기준_비정규직_남_공통,C12_2018년기준_비정규직_여_공통,C12_2018년기준_비정규직_합계_공통,C13_2017년기준_총종사자_남_공통,C13_2017년기준_총종사자_여_공통,C13_2017년기준_총종사자_합계_공통,C13_2018년기준_총종사자_남_공통,C13_2018년기준_총종사자_여_공통,C13_2018년기준_총종사자_합계_공통,C2_총종사자수_관리_공통,C2_총종사자수_생산_공통,C2_총종사자수_영업_공통,C2_총종사자수_연구개발(RnD)_공통,C2_총종사자수_기타_공통,C2_총종사자수_합계_공통,C3_학력별인력구성비_고졸이하_법인,C3_학력별인력구성비_전문대졸_법인,C3_학력별인력구성비_대졸_법인,C3_학력별인력구성비_석사_법인,C3_학력별인력구성비_박사_법인,C4_예상신규채용_신규채용의사_공통,C4_예상신규채용_2019년하반기_채용인원_공통,C4_예상신규채용_2020년_채용인원_공통,C4_예상신규채용_채용인원합계_공통,C41_신규채용희망학력_고졸이하_법인,C41_신규채용희망학력_전문대졸_법인,C41_신규채용희망학력_대졸_법인,C41_신규채용희망학력_석사_법인,C41_신규채용희망학력_박사_법인,C41_신규채용희망학력_합계_법인,C42_신규채용계획없는주요이유_법인,C42_신규채용계획없는주요이유_기타_사유_법인,C51_구인하기어려운직무_1순위_법인,C51_구인하기어려운직무_2순위_법인,C51_구인하기어려운직무_기타_법인,C52_구인하기어려운직급_1순위_법인,C52_구인하기어려운직급_2순위_법인,D1_지분_창업자_법인,D1_지분_임직원_법인,D1_지분_가족_법인,D1_지분_벤처캐피털_법인,D1_지분_엔젤및엑셀러레이터_법인,D1_지분_개인투자자_법인,D1_지분_합계_법인,D21_재무상태표_2017년_자산총계_공통,D21_재무상태표_2018년_자산총계_공통,D22_재무상태표_2017년_부채총계_공통,D22_재무상태표_2018년_부채총계_공통,D23_재무상태표_2017년_자본총계_공통,D23_재무상태표_2018년_자본총계_공통,D31_2017년_매출액_공통,D31_2018년_매출액_공통,D32_2017년_영업이익_공통,D32_2018년_영업이익_공통,D33_2017년_금융비용_공통,D33_2018년_금융비용_공통,D34_2017년_당기순이익_공통,D34_2018년_당기순이익_공통,D4_매출_대기업(B2B)_공통,D4_매출_12차벤더(B2B)_공통,D4_매출_중소기업(B2B)_공통,D4_매출(B2C)_공통,D4_매출(B2G)_공통,D4_매출_글로벌_공통,D4_매출_합계_공통,D51_연구개발(RnD)_경험여부_공통,D51_연구개발(RnD)_2018년총금액_공통,D52_융자_경험여부_공통,D52_융자_2018년총금액_공통,D53_보증서지원_경험여부_공통,D53_보증서지원_2018년총금액_공통,D54_기타지원_경험여부_공통,D54_기타지원_2018년총금액_공통,D55_합계_2018년총금액_공통,D5_개인사업자_향후법인전환의사여부_개인,D6_신규자금조달규모_법인,D6_신규자금조달_기업공개(IPO)_법인,D6_신규자금조달_캐피탈_법인,D6_신규자금조달_회사채_법인,D6_신규자금조달_정부지원금_법인,D6_신규자금조달_은행_법인,D6_신규자금조달_기타_법인,D6_신규자금조달_합계_법인,D7_투자액_국내설비_법인,D7_투자액_연구개발(RnD)_법인,D7_투자액_해외_법인,D7_투자액_기타_법인,D7_투자액_합계_법인,D8_스톡옵션상황_법인,D81_스톡옵션_실시주요목적_법인,D82_스톡옵션_활용안하는이유_법인,E1_공통_4차산업혁명과관계여부_공통,E11_분야별주력제품관련성_0_공통,E11_분야별주력제품관련성_1_공통,E11_분야별주력제품관련성_2_공통,E21_등록보유_특허권_공통,E21_등록보유_실용신안권_공통,E21_등록보유_디자인권_공통,E21_등록보유_상표권_공통,E21_등록보유_해외산업재산권_공통,E21_등록보유_합계_공통,E22_출원중_특허권_공통,E22_출원중_실용신안권_공통,E22_출원중_디자인권_공통,E22_출원중_상표권_공통,E22_출원중_해외산업재산권_공통,E22_출원중_합계_공통,E3_획득중인해외특허_0_법인,E3_획득중인해외특허_1_법인,E3_획득중인해외특허_2_법인,E4_제품및서비스구조_법인,E5_세계유일의기술보유여부_법인,E61_기술력수준비교_세계_법인,E62_기술력수준비교_국내_법인,E7_연구개발관련전담부서보유여부_법인,F11_개발역량_법인,F12_제조역량_법인,F13_마케팅역량_법인,F21_경쟁전략초점정도_원가우위수준_법인,F22_경쟁전략초점정도_고부가가치화수준_법인,F31_비즈니스모델혁신정도_명확한정리_법인,F32_비즈니스모델혁신정도_혁신_법인,F4_장기적성장전망성_법인,G1_자체브랜드보유여부_공통,G11_자체브랜드보유개수_공통,G2_영업및마케팅방식_0_공통,G2_영업및마케팅방식_기타_공통,G31_국내시장점유율_법인,G32_글로벌시장점유율_법인,G4_글로벌사업방식_법인,G41_해외지사설치여부_법인,G51_글로벌시장진출지역_0_법인,G51_글로벌시장진출지역_1_법인,G51_글로벌시장진출지역_2_법인,G51_글로벌시장진출지역_3_법인,G51_글로벌시장진출지역_4_법인,G51_글로벌시장진출지역_5_법인,G51_글로벌시장진출지역_6_법인,G51_글로벌시장진출지역_기타_법인,G52_직-간접수출지역_0_법인,G52_직-간접수출지역_1_법인,G52_직-간접수출지역_2_법인,G52_직-간접수출지역_3_법인,G52_직-간접수출지역_4_법인,G52_직-간접수출지역_5_법인,G52_직-간접수출지역_6_법인,G52_직-간접수출지역_기타_법인,G6_해외수출시애로사항_1순위_법인,G6_해외수출시애로사항_2순위_법인,G6_해외수출시애로사항_기타_법인,H1_선호협력기관_메인파트너_1순위_공통,H1_선호협력기관_메인파트너_2순위_공통,H11_협력활동유형_공통,H11_협렵활동도움정도_공통,H11_협력활동유형_기타_공통,H12_협력활동유형_공통,H12_협렵활동도움정도_공통,H12_협력활동유형_기타_공통,H13_협력활동유형_공통,H13_협렵활동도움정도_공통,H13_협력활동유형_기타_공통,H14_협력활동유형_공통,H14_협렵활동도움정도_공통,H14_협력활동유형_기타_공통,H15_협력활동유형_공통,H15_협렵활동도움정도_공통,H15_협력활동유형_기타_공통,H21_협력의사_공통,H21_협력희망분야_공통,H21_협력희망분야_기타_공통,H22_협력의사_공통,H22_협력희망분야_공통,H22_협력희망분야_기타_공통,H23_협력의사_공통,H23_협력희망분야_공통,H23_협력희망분야_기타_공통,H24_협력의사_공통,H24_협력희망분야_공통,H24_협력희망분야_기타_공통,H25_협력의사_공통,H25_협력희망분야_공통,H25_협력희망분야_기타_공통,I1_크라우드펀딩받은경험_법인,I2_엔젤투자자투자받은경험_법인,I3_밴처캐피탈투자받은경험_법인,I31_투자한벤처캐피탈역할_법인,I321_도움여부_법인,I321_도움정도_법인,I322_도움여부_법인,I322_도움정도_법인,I323_도움여부_법인,I323_도움정도_법인,I324_도움여부_법인,I324_도움정도_법인,I325_도움여부_법인,I325_도움정도_법인,I326_도움여부_법인,I326_도움정도_법인,I327_도움여부_법인,I327_도움정도_법인,I4_인수합병의향_법인,I5_인수합병응할의향_법인,I6_인수합병(MnA)환경개선을위해필요한것_1순위_법인,I6_인수합병(MnA)환경개선을위해필요한것_2순위_법인,J11_납품단가_법인,J11_단가변동폭_법인,J12_납품단가_법인,J12_단가변동폭_법인,J13_납품단가_법인,J13_단가변동폭_법인,J14_납품단가_법인,J14_단가변동폭_법인,J21_현재이익률_법인,J21_희망적정이익률_법인,J22_현재이익률_법인,J22_희망적정이익률_법인,J23_현재이익률_법인,J23_희망적정이익률_법인,J24_현재이익률_법인,J24_희망적정이익률_법인,J31_불공정거래경험여부_법인,J31_불공정거래심각성정도_법인,J32_불공정거래경험여부_법인,J32_불공정거래심각성정도_법인,J33_불공정거래경험여부_법인,J33_불공정거래심각성정도_법인,J34_불공정거래경험여부_법인,J34_불공정거래심각성정도_법인,J4_기업간거래시주요애로사항_1순위_법인,J4_기업간거래시주요애로사항_2순위_법인,K11_기술개발촉진효과_공통,K12_기업이미지제고등광고효과_공통,K13_세제혜택효과_공통,K14_우수인력확보에유리_공통,K15_입지선정시유리_공통,K16_자금조달및투자유인효과_공통,K17_정부지원제도참여에유리_공통,K18_창업관련규제완화효과_공통,K21_인수합병(MnA)활성화를위한제도개선_공통,K22_벤처관련규제완화_공통,K23_창업및기업가적능력개발을위한교육_공통,K24_기업가정신을고취하는사회분위기_공통,K25_벤처투자활성화_법인_공통,K31_실천하고있는사회적책임_0_법인,K31_실천하고있는사회적책임_1_법인,K31_실천하고있는사회적책임_기타_법인,K32_향후사회적책임실천할계획여부_법인,K41_신기술개발애로_공통,K42_개발된기술의사업화애로_공통,K43_국내판로개척애로_공통,K44_해외시장개척애로_공통,K45_필요인력의확보및유지관리애로_공통,K46_자금조달_운용등자금관리애로_공통,K47_기술유출_디자인및상표도용애로_공통,K48_업계내의과당경쟁및덤핑애로_공통,K49_법률회계세무관련지식부족애로_공통,K410_조직관리애로_공통,K411_환율변동애로_공통,K412_특허분쟁애로_공통,K413_각종규제애로_공통,K414_산-학-연간협력활동애로_공통,K415_불공정한시장질서애로_공통
1509,법인,46.129,1,1,2,4,3,12,34,27309,1,2,충남,천안시 동남구,C27309,C,27,273,2007,4,2,70,1,4,,,2,1,44,3,2,,10,개인사업,2,5,7,,,,,,,1,2,3,3,,6,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,1,10,2,,,,6,0,6,5,0,5,3,0,3,0,0,0,9,0,9,5,0,5,2,0,3,0,0,5,20,0,80,0,0,2,,,,,,,,,,4,,5,3,,2,1,0,70,30,0,0,0,100,2764,3148,1488,1923,1276,1226,5041,2507,117,-27,56,49,110,-44,0,60,40,0,0,0,100,2,,2,,2,,2,,,,,,,,,,,,0,0,0,0,0,3,3,,1,9,20,20,3,0,0,0,0,3,1,0,0,1,0,2,3,,,3,2,4,3,4,3,3,3,3,2,3,2,3,2,,4,,30,0,4,,,,,,,,,,,,,,,,,,4,1,,1,3,3,4,,4,4,,9,3,,,,,,,,1,2,,1,3,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,4,,,2,,2,,,,,,10,15,10,15,,,,,,,,,,,7,11,2,3,3,3,2,2,2,2,2,3,3,3,3,7,,,1,4,4,3,5,4,4,3,4,3,3,2,2,2,3,3
1510,법인,4.674,9,4,2,3,3,12,25,70113,2,4,대전,유성구,M70113,M,70,701,2007,3,4,,2,2,,,1,,,,,,,,,,,,,,,,,2,2,5,,,3,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,1,5,2,,,,29,25,54,31,27,58,0,0,0,0,0,0,29,25,54,31,27,58,2,29,0,27,0,58,0,0,94,3,3,1,2,2,4,0,0,4,0,0,4,,,5,4,,1,2,0,33,0,24,0,43,100,12354,44544,497,28384,11856,16160,1466,1755,-4530,-8079,3,1103,-6411,-18379,0,40,60,0,0,0,100,2,,2,,1,45,2,,45,,45,0,0,0,100,0,0,100,0,5539,0,0,5539,3,2,,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,3,2,4,3,2,4,3,3,3,3,3,3,3,2,,2,,0,0,4,,,,,,,,,,,,,,,,,,2,6,,2,,,,,3,4,,,,,,,,,,,2,,,1,3,,2,,,2,,,2,,,2,2,1,1,,,,,,,,,,,,,,,2,2,2,3,,,3,5,2,,,,,,5,10,8,14,,,,,,,,,,,12,10,3,4,4,3,4,4,3,2,3,2,3,3,2,7,,,1,3,4,3,3,4,3,3,3,2,2,3,3,3,3,3
1511,법인,4.674,9,4,2,4,3,11,25,72919,2,2,대전,유성구,M72919,M,72,729,2008,4,4,,2,4,,,1,,,,,,,,,,,,,,,,,1,3,1,1,,3,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,2,6,2,,,,79,19,98,79,19,98,0,0,0,0,0,0,79,19,98,79,19,98,10,0,2,11,75,98,0,10,60,20,10,1,5,5,10,0,0,10,0,0,10,,,5,1,,1,2,25,44,0,0,0,32,100,25032,28347,6491,8050,18541,20297,21283,20048,3347,2211,35,43,3000,2251,10,0,0,0,90,0,100,2,,2,,1,2500,2,,2500,,2500,0,0,0,100,0,0,100,0,1423,0,0,1423,4,,1,1,11,13,15,0,0,0,0,0,0,0,0,0,0,0,0,3,,,3,2,3,2,2,4,4,3,4,4,3,3,4,2,,3,,5,0,4,,,,,,,,,,,,,,,,,,2,5,,1,,3,4,,,,,,,,,,,,,,1,11,,2,,,2,,,1,12,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,2,2,,,,,,,,18,25,,,,,,,,,,,,,,,6,12,3,3,4,3,4,4,4,4,4,3,4,4,4,4,,,1,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3
1512,법인,4.674,9,4,2,3,3,11,25,70113,2,3,대전,유성구,M70113,M,70,701,2008,3,4,,2,1,2014,2,1,,,,,,,,,,,,,,,,,1,4,1,2,,5,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,3,10,2,,,,35,26,61,36,26,62,0,1,1,0,1,1,35,27,62,36,27,63,5,0,11,39,8,63,2,0,90,5,3,1,2,1,3,0,0,2,1,0,3,,,4,1,,2,1,21,0,0,12,5,62,100,41274,67082,1726,1004,39548,66078,2469,1298,-6315,-7043,192,249,-7813,-6358,0,0,0,95,0,5,100,1,189,2,,2,,2,,189,,189,0,0,0,100,0,0,100,0,5962,0,0,5962,3,3,,2,,,,5,0,0,0,0,5,0,0,0,0,0,0,3,,,3,2,3,3,2,3,4,3,3,3,3,2,3,1,1,2,,5,0,3,2,,,,,,,,,1,6,,,,,,,1,6,,5,,,,,,,,,,,,,,3,4,,2,,,2,,,2,,,2,,,1,3,,2,2,2,,,,,,,,,,,,,,,,2,2,3,5,,,,,,,2,,,,,,,,20,25,,,,,,,,,1,3,3,4,4,4,3,3,2,3,3,2,3,2,3,5,,,2,3,4,3,3,4,3,3,3,4,3,3,3,3,3,3
1513,법인,5.889,2,3,2,3,3,11,25,21102,1,4,대전,유성구,C21102,C,21,211,2008,3,1,,1,4,,,1,,,,,,,,,,,,,,,,,1,3,1,2,,4,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,1,10,2,,,,5,16,21,5,26,31,0,0,0,0,0,0,5,16,21,5,26,31,5,11,3,12,0,31,16,7,55,16,6,1,5,8,13,0,0,8,5,0,13,,,4,5,,1,2,60,0,4,36,0,0,100,7244,7264,2870,1468,4374,5795,3136,4153,975,1437,42,22,1064,1422,0,2,90,3,0,5,100,2,,2,,2,,2,,,,2400,0,0,0,0,20,80,100,100,741,0,1300,2141,4,,2,2,,,,3,6,0,6,7,22,0,0,0,0,2,2,1,,,1,1,3,3,2,5,4,3,4,4,4,4,5,1,1,3,,30,10,1,2,,,,,,,,,2,3,5,,,,,,5,7,,1,,2,2,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,1,1,,,,,,,,,,,,,,,2,2,1,3,,,3,20,3,20,2,,,,3,30,30,40,30,40,,,,,,,,,9,8,2,5,5,4,5,4,5,4,2,2,3,3,2,7,,,1,4,4,5,4,5,3,3,2,3,5,4,2,3,2,3
1514,법인,6.833,1,3,2,3,2,9,25,27216,1,2,대전,유성구,C27216,C,27,272,2010,3,2,30,1,3,,,1,,,,,,,,,,,,,,,,,1,2,2,1,,7,,4,5,7,,,,,,,3,1,,1,,,,,,,,,,,,3,2,2,,,,21,1,22,31,1,32,0,0,0,0,0,0,21,1,22,31,1,32,1,7,3,4,17,32,0,18,73,9,0,2,,,,,,,,,,1,,8,6,현장,2,3,80,0,0,0,0,20,100,1991,2560,432,443,1558,2117,5826,8074,453,809,4,10,445,817,0,0,0,0,70,30,100,2,,2,,1,300,2,,300,,300,0,0,0,100,0,0,100,100,802,0,0,902,4,,4,1,9,12,,6,0,0,0,1,7,0,0,0,0,0,0,1,,,2,1,1,1,2,4,4,4,4,4,4,4,5,1,3,1,,80,20,1,2,,,,,,,,,5,1,,,,,,,6,8,,2,1,10,4,,3,5,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,1,3,5,,,,,,,2,,,,,,,,30,50,,,,,,,,,2,3,3,4,4,3,4,4,4,4,3,4,3,3,3,7,,,1,4,2,2,2,4,5,3,2,3,3,3,2,3,4,2
1515,법인,2.7,1,5,2,3,2,9,29,20499,1,4,세종,전의면,C20499,C,20,204,2010,3,1,,1,2,,,1,,,,,,,,,,,,,,,,,1,3,1,1,,7,,5,,,,,,,,,3,2,3,1,,,,,,2,5,,,,제조,3,10,1,1,0,1,131,8,139,143,12,155,0,0,0,0,0,0,131,8,139,143,12,155,9,110,10,17,9,155,33,10,45,10,2,2,,,,,,,,,,2,,6,5,,1,2,31,7,13,32,0,18,100,56855,65573,32792,39366,24063,26207,37422,35227,7116,3505,872,986,8541,2103,44.34,16.3,2.24,0,0,37.12,100,1,1400,2,,1,4000,1,30,5430,,14230,0,0,0,38,62,0,100,10343,1506,0,0,11849,3,3,,1,20,,,9,0,0,0,0,9,3,0,0,0,0,3,3,,,3,1,1,1,2,5,4,3,3,3,4,3,4,2,,3,,90,40,1,1,3,7,,,,,,,1,3,5,6,,,,,4,9,현지 시장 상황 부,4,2,2,2,,3,3,,8,3,,9,4,,10,4,,1,2,,1,3,,1,8,,1,9,,1,12,,2,2,1,1,,,,,,,,,,,,,,,2,2,5,2,3,4,3,1,2,,3,4,8,15,12,20,12,20,8,15,1,3,,,1,3,,,3,11,2,4,4,4,4,4,4,4,3,4,2,1,2,3,,,2,4,4,3,4,5,4,2,2,3,4,3,3,3,3,4
1516,법인,9.188,9,3,2,2,2,8,25,72129,2,2,대전,유성구,M72129,M,72,721,2011,2,2,10,2,3,,,1,,,,,,,,,,,,,,,,,1,4,1,1,,5,,5,,,,,,,,,3,2,2,1,,,,,,1,2,,,,,3,12,1,1,0,1,30,6,36,32,6,38,0,0,0,0,0,0,30,6,36,32,6,38,2,0,1,35,0,38,0,0,84,13,3,1,0,2,2,0,0,2,0,0,2,,,4,2,,3,1,0,0,100,0,0,0,100,2526,2235,1090,721,1436,1514,2277,2583,104,117,4,1,127,98,96,0,0,0,4,0,100,1,200,2,,2,,2,,200,,200,0,0,0,100,0,0,100,0,681,0,0,681,3,3,,1,1,9,,3,2,0,0,0,5,0,0,0,0,0,0,3,,,2,2,3,1,2,4,4,3,3,4,4,4,4,1,2,3,,5,0,4,,,,,,,,,,,,,,,,,,2,5,,4,1,4,4,,,,,,,,4,4,,,,,1,12,,2,,,2,,,1,12,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,2,2,,,,,,,,10,12,,,,,,,,,,,,,,,4,12,3,4,3,3,3,3,3,3,3,3,3,3,3,1,,,1,4,5,5,5,4,3,4,4,4,2,2,2,3,3,4
1517,법인,19.643,1,2,2,4,2,8,25,27213,1,1,대전,대덕구,C27213,C,27,272,2011,4,1,,1,4,,,1,,,,,,,,,,,,,,,,,1,3,3,1,,6,,4,,,,,,,,,3,1,,2,,,,,,,,,,,,1,5,2,,,,11,2,13,11,2,13,0,0,0,0,0,0,11,2,13,11,2,13,1,4,4,2,2,13,15,15,55,15,0,1,1,1,2,0,0,2,0,0,2,,,4,5,,2,1,49,0,0,0,0,51,100,2205,2173,1525,1325,680,848,3818,3943,59,116,15,29,63,118,10,0,20,0,70,0,100,2,,2,,2,,2,,,,,,,,,,,,0,501,0,0,501,1,2,,2,,,,14,0,0,0,0,14,3,0,0,0,0,3,3,,,2,2,3,1,2,5,5,3,4,5,3,4,3,1,3,1,,4,0,4,,,,,,,,,,,,,,,,,,4,5,,2,1,3,5,,4,5,,,,,,,,,,,1,3,,1,10,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,6,3,2,,,,2,,,,10,30,,,10,30,,,,,,,,,,,8,9,5,5,5,4,3,3,4,3,3,4,4,4,3,5,,,1,4,5,5,5,5,5,5,5,3,3,5,3,4,3,5
1518,법인,8.9,4,2,2,3,2,7,25,26429,1,2,대전,유성구,C26429,C,26,264,2012,3,2,30,2,4,,,2,1,58,1,1,,1,,8,,,,,,,,,2,3,2,2,,6,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,1,3,2,,,,9,6,15,12,5,17,0,0,0,0,0,0,9,6,15,12,5,17,1,0,0,13,3,17,0,0,53,41,6,1,2,2,4,0,0,2,2,0,4,,,5,6,,2,1,0,72,18,0,10,0,100,1150,948,728,708,422,240,609,206,-677,-160,1,21,22,-181,0,50,50,0,0,0,100,1,240,2,,2,,2,,240,,240,0,0,0,100,0,0,100,0,240,0,0,240,1,3,,1,2,6,13,12,0,0,0,2,14,10,0,0,0,2,12,1,,,2,2,3,3,2,4,4,4,3,3,4,4,4,2,,1,,2,0,4,,,,,,,,,,,,,,,,,,4,8,,2,3,,,,3,4,,3,4,,,,,,,,1,3,,1,3,,1,3,,1,3,,1,3,,2,1,2,,,,,,,,,,,,,,,,2,2,3,5,,,1,4,1,1,,,,,25,45,20,25,,,,,,,,,,,11,6,3,4,3,3,3,4,3,3,3,4,3,4,4,7,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1519,법인,43.545,9,1,2,3,2,7,25,38312,2,2,대전,유성구,E38312,E,38,383,2012,3,1,,2,4,,,1,,,,,,,,,,,,,,,,,1,4,1,1,,3,,5,,,,,,,,,2,2,2,1,,,,,,1,,,,,,1,23,2,,,,2,1,3,3,2,5,0,0,0,0,0,0,2,1,3,3,2,5,1,0,0,4,0,5,0,20,40,20,20,1,1,1,2,0,0,2,0,0,2,,,5,4,,2,1,50,0,50,0,0,0,100,390,1325,104,735,286,590,169,203,-21,5,2,2,-21,5,0,0,100,0,0,0,100,1,200,2,,2,,2,,200,,200,0,0,0,100,0,0,100,50,200,0,0,250,4,,2,2,,,,3,0,0,0,0,3,0,0,0,0,0,0,3,,,2,2,4,3,2,4,4,2,2,4,3,3,4,2,,1,,20,0,4,,,,,,,,,,,,,,,,,,2,6,,1,2,3,3,,10,3,,,,,,,,,,,2,,,1,3,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,4,3,,,,,2,,,,,,,,12,20,,,,,,,,,,,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,1,,,1,4,5,4,1,4,4,3,3,3,2,2,2,2,1,1
1520,법인,16.974,4,1,2,1,2,7,25,26429,1,2,대전,유성구,C26429,C,26,264,2012,1,2,90,2,4,,,1,,,,,,,,,,,,,,,,,1,2,2,1,,6,,1,3,5,,,,,,,3,1,,1,,,,,,,,,,,,3,9,2,,,,7,1,8,6,2,8,0,0,0,0,0,0,7,1,8,6,2,8,1,0,0,7,0,8,0,0,38,50,13,2,,,,,,,,,,3,,5,4,,1,2,50,50,0,0,0,0,100,322,309,170,141,152,168,512,840,-91,17,5,5,-97,15,0,0,70,0,30,0,100,1,84,2,,2,,2,,84,,84,0,0,0,100,0,0,100,0,21,0,0,21,4,,1,1,11,19,,22,0,0,3,2,27,6,0,0,1,3,10,1,,,2,2,3,3,2,3,3,3,2,3,3,3,3,1,3,2,,2,0,4,,,,,,,,,,,,,,,,,,4,7,,3,1,3,4,,4,3,,5,3,,,,,,,,1,3,,2,,,1,9,,1,9,,2,,,2,2,2,,,,,,,,,,,,,,,,2,1,3,2,,,,,2,,,,,,,,30,40,,,,,,,,,,,12,9,3,4,4,3,3,3,5,3,3,3,3,3,2,7,,,1,4,5,5,5,4,5,3,3,3,3,3,3,3,3,3
1521,법인,5.889,2,3,2,2,2,7,25,27199,1,2,대전,유성구,C27199,C,27,271,2012,2,2,80,1,3,,,2,1,33,1,1,,3,,5,,,,,,,,,1,2,2,1,,9,,3,,,,,,,,,3,1,,3,,,,,,,,,,,,3,0,2,,,,20,10,30,20,10,30,0,0,0,0,0,0,20,10,30,20,10,30,10,0,0,20,0,30,0,13,87,0,0,1,1,2,3,0,0,1,2,0,3,,,5,3,,2,3,40,60,0,0,0,0,100,1267,1630,1050,1160,217,470,813,660,-700,-500,19,20,-425,-180,0,0,100,0,0,0,100,1,440,2,,1,460,2,,900,,900,0,0,0,100,0,0,100,0,650,0,0,650,1,2,,1,10,14,20,8,0,2,1,0,11,7,0,0,0,6,13,3,,,1,1,1,1,2,5,3,3,3,5,4,4,4,1,1,1,,1,0,4,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,1,3,,,,,2,,,,,,,,20,25,,,,,,,,,,,3,10,4,4,4,4,4,4,4,4,4,4,4,4,4,7,,,1,3,4,5,3,4,5,3,3,5,4,3,4,5,3,3
