회사명,거래소코드,회계년도,[공통]배당성향(IFRS),[공통]평균배당률(IFRS)
대원전선(주),006340,2022/12,0,0
대원제약(주),003220,2022/12,23.3,66.83
대원화성(주),024890,2022/12,0,0
대창단조(주),015230,2022/12,16.37,36.26
대한방직(주),001070,2022/12,0,0
대한유화(주),006650,2022/12,0,15.06
대한전선(주),001440,2022/12,0,0
대한제강(주),084010,2022/12,10.45,54.59
대한제당(주),001790,2022/12,57.08,24.07
대한제분(주),001130,2022/12,17.52,48.68
대한해운(주),005880,2022/12,0,0
대한화섬(주),003830,2022/12,2.52,12.69
덕양산업(주),024900,2022/12,0,0
동국제강(주),001230,2022/12,29.75,7.76
동부건설(주),005960,2022/12,25.07,9.99
동성제약(주),002210,2022/12,0,0
동아쏘시오홀딩스(주),000640,2022/12,70.32,19.69
동아에스티(주),170900,2022/12,65.24,15.92
동아타이어공업(주),282690,2022/12,59.53,199.98
동양생명보험(주),082640,2022/12,0,0
동양철관(주),008970,2022/12,0,0
동양피스톤(주),092780,2022/12,0,12
동원금속(주),018500,2022/03,0,0
동원산업(주),006040,2022/12,34,79.59
동원수산(주),030720,2022/12,17.26,5
동원시스템즈(주),014820,2022/12,29.58,12.01
동일고무벨트(주),163560,2022/12,17.4,24
동일산업(주),004890,2022/12,34.9,53.59
동일제강(주),002690,2022/12,5.91,1.95
동화약품(주),000020,2022/12,27.36,17.84
두산밥캣(주),241560,2022/12,66.17,150
두산에너빌리티(주),034020,2022/12,0,0
두산퓨얼셀(주),336260,2022/12,0,0
디씨엠(주),024090,2022/12,21.97,137.82
디아이동일(주),001530,2022/12,22.22,38.8
디에스알(주),155660,2022/12,4.99,12
디에스알제강(주),069730,2022/12,2.99,12
디엘(주),000210,2022/12,15.48,16.36
디엘건설(주),001880,2022/12,12.65,6.02
디엘이앤씨(주),375500,2022/12,13.63,19.7
디와이(주),013570,2022/12,85.79,22.5
디와이파워(주),210540,2022/12,9.43,49.97
롯데관광개발(주),032350,2022/12,0,0
롯데렌탈(주),089860,2022/12,42.26,18
롯데손해보험(주),000400,2022/12,0,0
롯데쇼핑(주),023530,2022/12,0,65.96
롯데에너지머티리얼즈(주),020150,2022/12,283.21,60
롯데웰푸드(주),280360,2022/12,108.7,431.07
롯데정밀화학(주),004000,2022/12,23.06,69.1
롯데정보통신(주),286940,2022/12,44.42,13.76
