주력제품 해외 시장점유율(퍼센트),주력제품 국내 시장점유율(퍼센트),매출구조비율(중소기업),매출구조비율(글로벌),총자산회전율,자기자본비율,부채비율,순이익률,등록보유(특허권),창업 당시 창업자 최종학력,창업 당시 목표시장,기업성장단계,해외수출 및 진출과정 애로사항,Exit
0.01,15.0,95.0,5.0,114.655,38.079,162.61,3.19,7,3,1,4,7,0
2.0,10.0,60.0,10.0,75.212,32.812,204.762,2.64,3,3,3,4,2,0
2.0,10.0,60.0,10.0,113.393,37.172,169.023,6.129,1,3,3,4,3,0
10.0,60.0,40.0,50.0,193.259,51.451,94.359,7.505,5,4,3,3,4,0
2.0,10.0,60.0,10.0,94.727,40.827,144.934,5.555,1,3,3,4,4,0
0.01,0.01,0.0,10.0,49.201,9.361,968.293,-1.856,1,2,3,3,1,0
0.0,5.0,20.0,0.0,127.017,43.034,132.392,10.552,2,3,1,3,2,0
0.0,10.0,80.0,0.0,98.744,70.888,41.067,18.213,1,5,1,2,3,0
0.0,30.0,75.0,0.0,199.247,39.038,156.181,3.631,0,3,1,4,2,0
0.0,6.75,0.0,0.0,374.766,37.695,164.876,4.988,0,5,3,2,3,0
0.0,2.0,100.0,0.0,90.089,46.831,113.52,3.11,2,3,1,3,5,0
0.0,0.8,70.0,0.0,103.331,20.289,392.867,-3.969,5,3,3,4,1,0
0.0,0.8,70.0,0.0,117.578,21.245,370.699,2.147,5,3,3,3,1,0
0.3,5.0,0.0,0.0,61.273,21.734,360.106,0.481,0,3,1,4,2,0
0.3,5.0,98.0,2.0,60.818,22.896,336.765,0.733,4,3,1,4,3,0
1.0,10.0,62.0,3.0,166.009,21.019,375.76,0.641,0,2,3,3,1,0
0.3,5.0,98.3,1.7,66.13,18.961,427.404,0.398,4,5,1,5,3,0
0.0,10.0,100.0,0.0,172.013,27.842,259.17,0.896,3,2,3,3,1,0
0.0,0.1,50.0,0.0,46.291,25.094,298.501,7.607,19,1,1,2,4,0
10.0,5.0,0.0,1.7,107.572,28.403,252.077,2.7,4,5,1,4,2,0
1.0,10.0,62.0,3.0,181.895,27.083,269.231,1.427,3,2,3,3,1,0
0.0,1.0,73.0,10.0,123.394,29.322,241.045,8.367,0,3,1,2,3,0
0.0,7.0,0.0,2.0,90.307,3.569,2702.046,-2.769,12,3,1,3,3,0
0.0,5.0,30.0,15.0,67.349,71.701,39.469,16.381,2,1,3,4,2,1
0.0,5.0,20.0,10.0,73.117,31.761,214.852,1.283,13,2,3,3,3,0
0.0,10.0,9.5,0.5,143.823,36.217,176.111,9.975,2,3,1,4,4,0
0.2,1.0,40.0,4.0,81.466,92.322,8.316,11.925,9,3,1,3,3,0
0.01,0.3,50.0,0.0,100.163,0.089,12300.0,-21.583,2,3,3,4,5,0
1.0,40.0,25.0,5.0,98.379,47.704,109.624,10.747,13,3,3,4,4,1
0.0,10.0,86.0,0.0,108.66,88.315,13.231,12.726,2,3,1,4,3,0
