회사주소_시(도),한국표준산업분류(KSIC)코드_10차,상장여부,인수합병(MnA) 경험여부,가중치,벤처확인 유형,기업성장단계,제조 및 비제조,대표이사_창업자여부,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 직전 근무지,창업방식,단독창업 여부,창업 당시 목표시장,창업자 과거창업 경험 여부,융자(정책)_경험여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,전공과 업종 일치 여부,연구개발관련전담부서보유여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,해외수출 및 진출과정 애로사항,제품및서비스구조,기술력수준비교(세계),기술력수준비교(국내),주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),정규직비율,학력별 인력구성비(고졸이하),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),부서별_인력구성(관리),부서별_인력구성(생산),부서별_인력구성(영업),부서별_인력구성(RnD),매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),투자액비(국내설비),투자액비(RnD),투자액비(해외),투자액비(기타),부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,창업 당시 창업자 실무경험 년수(년),벤처확인제도 혜택(평균),벤처인프라 수준(평균),등록보유(합계),출원중(합계),경영상 애로사항(개수),벤처캐피털(투자조합포함) 투자 경험여부
경기,C20413,2,2.0,64.763,3,3,2,1.0,2,3,5,3,1.0,1.0,2,1.0,3.0,1,1,2.0,1.0,2,4.0,2.0,4.0,4.0,0.1,0.0,1.0,0.0,45.0,55.0,0.0,0.0,33.333,0.0,0.0,66.667,90.0,0.0,10.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,89.587,52.746,4.265,164.574,312.01,13.306,8.118,579.817,420700.0,15.0,5.0,3.5,5,0,5,1
경기,C20413,1,2.0,2.828,3,3,2,1.0,1,3,6,3,1.0,3.0,2,2.0,4.0,2,1,2.0,1.0,2,3.0,2.0,3.0,2.0,0.0,1.0,1.0,0.5,0.5,85.0,14.0,0.0,22.124,33.628,17.699,26.549,0.0,0.0,0.0,0.0,0.0,100.0,10.601,89.399,0.0,0.0,7.771,92.789,13.789,60.989,65.729,9.063,21.957,147600.0,99991.15,0.0,3.5,3.5,0,0,6,1
경기,C20413,2,2.0,6.284,4,4,1,1.0,2,3,5,3,1.0,3.0,2,1.0,3.0,1,1,2.0,1.0,2,3.0,1.0,2.0,2.0,15.0,2.0,1.0,20.0,36.0,30.0,14.0,0.0,28.302,35.849,9.434,26.415,0.0,0.0,40.0,0.0,0.0,60.0,7.119,92.881,0.0,0.0,5706.383,1.722,-82.023,47.087,2734.043,-1787.5,-12.633,-190.98,14547.17,11.0,3.833,3.25,22,5,6,0
부산,C20413,2,3.0,46.129,2,1,1,1.0,3,1,6,3,2.0,3.0,2,1.0,3.0,1,3,2.0,1.0,2,2.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,20.0,20.0,20.0,40.0,20.0,20.0,0.0,60.0,0.0,99.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,12300.0,0.217,-12.238,62.039,17528.358,-1787.5,-61.888,-3540.0,5720.0,15.0,3.333,2.75,0,2,7,0
경기,C20413,2,3.0,6.833,1,2,1,2.0,3,3,3,3,2.0,2.0,2,1.0,5.0,2,1,2.0,1.0,2,4.0,2.0,1.0,1.0,10.0,0.0,0.818,49.0,21.0,21.0,6.0,3.0,24.242,60.606,3.03,12.121,0.0,0.0,100.0,0.0,0.0,0.0,7.463,92.537,0.0,0.0,289.46,25.677,12.752,124.255,483.923,61.708,14.406,26125.0,21981.818,2.0,3.833,2.75,1,0,10,0
인천,C20413,2,2.0,6.79,2,4,1,1.0,3,3,6,3,1.0,1.0,1,2.0,3.0,1,3,2.0,1.0,2,4.0,3.0,3.0,2.0,50.0,0.0,1.0,24.444444444444443,22.22222222222222,44.44444444444444,8.88888888888889,0.0,8.889,57.778,22.222,8.889,0.0,90.0,10.0,0.0,0.0,0.0,55.556,44.444,0.0,0.0,161.251,38.277,0.756,70.118,183.185,1.385,1.957,80.11,18068.293,30.0,3.667,2.5,8,2,7,0
충북,C20421,2,3.0,46.129,2,2,2,1.0,3,2,6,3,2.0,3.0,2,1.0,5.0,1,3,2.0,1.0,2,3.0,3.0,2.0,2.0,10.0,0.0,1.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,42.918,57.082,0.0,0.0,84.338,54.248,9.927,106.179,195.729,19.43,13.222,1626.316,77900.0,15.0,3.0,2.25,2,0,4,0
충남,C20421,2,2.0,56.506,2,2,2,1.0,2,2,6,3,1.0,1.0,2,1.0,4.0,2,1,2.0,1.0,2,4.0,2.0,3.0,2.0,10.0,0.01,1.0,0.0,0.0,72.0,28.0,0.0,12.5,37.5,12.5,37.5,20.0,20.0,20.0,0.0,0.0,40.0,94.851,3.388,0.0,1.762,321.012,23.752,2.492,145.728,613.531,15.292,3.21,358.0,69712.5,5.0,3.333,3.0,3,0,6,0
대구,C20421,2,2.0,64.763,2,3,1,1.0,3,1,4,3,1.0,1.0,2,1.0,4.0,2,1,1.0,1.0,2,4.0,2.0,3.0,2.0,25.0,0.0,1.0,28.0,20.0,40.0,12.0,0.0,11.111,44.444,11.111,33.333,0.0,0.0,100.0,0.0,0.0,0.0,0.0,35.268,0.0,64.732,172.751,36.663,5.564,73.56,200.635,11.164,8.94,238.732,42133.333,15.0,3.333,2.75,4,0,4,0
대전,C20421,2,2.0,56.506,2,3,1,1.0,4,1,3,2,1.0,3.0,1,2.0,4.0,1,1,1.0,4.0,1,4.0,3.0,5.0,3.0,2.0,0.0,1.0,0.0,30.0,30.0,20.0,20.0,12.5,50.0,12.5,25.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,153.547,39.44,5.59,14.531,36.842,2.059,8.075,260.0,2300.0,21.0,3.333,3.25,8,2,5,0
